group_id,state,group_type,num_members,group_age_months,avg_member_age,literacy_rate_pct,avg_monthly_saving_per_member,total_savings_balance,savings_regularity_pct,meeting_attendance_pct,bank_linkage_duration_months,sb_account_active,num_previous_loans,previous_loan_repayment_ontime_pct,num_defaulters_in_group,current_outstanding_loan_amount,purpose_of_loan,requested_loan_amount,group_cohesion_score,internal_lending_active,eligible_for_loan
SHG20103,Bihar,Women SHG,14,21,50.9,36.1,101.88,2045.43,69.9,87.0,11,No,1,92.0,0,13115.86,Agriculture,7200.0,7.9,Yes,1
SHG20104,Kerala,Women SHG,17,7,47.8,80.6,233.0,2309.42,73.3,73.6,5,Yes,1,30.8,2,20323.71,Agriculture,81100.0,6.3,Yes,0
SHG20105,Tamil Nadu,Mixed SHG,14,36,48.3,72.6,277.3,10866.96,94.0,74.5,27,Yes,1,77.9,0,38911.42,Emergency/Consumption,16400.0,5.1,No,1
SHG20106,Tamil Nadu,Farmer Producer Group,17,42,32.2,54.1,127.71,7037.21,93.6,45.5,28,Yes,0,,0,0.0,Agriculture,59800.0,8.2,No,1
SHG20107,Maharashtra,Women SHG,11,22,45.4,67.5,40.92,725.43,67.2,78.4,16,Yes,1,70.0,0,6434.12,Education,8900.0,5.8,No,1
SHG20108,Uttar Pradesh,Women SHG,10,27,30.6,49.9,187.98,2865.67,94.6,62.6,14,Yes,3,69.6,0,16726.03,Small Business,16400.0,8.0,No,1
SHG20109,Bihar,Women SHG,14,32,22.1,36.7,90.32,3235.45,59.1,87.9,23,Yes,6,45.0,1,13400.86,Livestock,37500.0,8.8,No,1
SHG20110,Maharashtra,Women SHG,13,36,33.2,30.8,48.38,1427.57,65.7,86.0,18,Yes,2,72.2,0,2297.63,Livestock,6300.0,4.3,Yes,1
SHG20111,Andhra Pradesh,Women SHG,16,35,42.6,46.9,430.78,17547.47,83.9,89.6,29,Yes,1,66.9,1,11279.9,Agriculture,60500.0,6.1,Yes,1
SHG20112,Bihar,Women SHG,16,42,37.8,73.3,87.04,3943.2,71.7,57.5,32,Yes,1,80.5,0,22221.98,Home Improvement,18400.0,4.6,Yes,1
SHG20113,West Bengal,Women SHG,13,18,37.3,43.0,45.12,861.13,69.0,83.9,15,Yes,0,,0,0.0,Livestock,39000.0,7.8,Yes,0
SHG20114,Andhra Pradesh,Women SHG,12,32,29.7,51.7,112.66,2639.1,57.6,90.6,28,Yes,0,,0,0.0,Livestock,19200.0,7.9,Yes,1
SHG20115,Karnataka,Women SHG,17,13,46.7,79.7,215.71,3170.84,88.0,67.2,9,Yes,3,81.7,0,1689.68,Agriculture,26400.0,9.0,Yes,1
SHG20116,Karnataka,Women SHG,12,59,39.5,31.7,67.5,2890.94,91.5,93.2,47,Yes,1,78.7,0,7545.55,Emergency/Consumption,83100.0,6.3,No,1
SHG20117,Uttar Pradesh,Farmer Producer Group,12,28,45.2,32.0,50.1,1203.85,72.7,85.2,15,Yes,2,55.3,0,24482.88,Small Business,13300.0,5.2,No,0
SHG20118,Tamil Nadu,Women SHG,14,12,38.6,70.3,87.28,819.74,78.0,81.7,11,Yes,1,66.6,1,34096.86,Agriculture,62700.0,7.7,No,1
SHG20119,Uttar Pradesh,Women SHG,13,30,22.9,54.0,27.84,777.97,48.4,90.8,21,Yes,3,90.5,1,19482.49,Agriculture,39100.0,6.6,Yes,1
SHG20120,Tamil Nadu,Women SHG,11,29,35.2,67.9,64.31,1190.97,86.9,71.3,19,Yes,1,96.7,0,24293.35,Small Business,25800.0,5.5,Yes,1
SHG20121,Uttar Pradesh,Women SHG,14,21,44.6,69.8,119.09,2882.18,43.0,77.1,15,Yes,2,82.5,1,9753.49,Livestock,12900.0,7.5,Yes,0
SHG20122,Tamil Nadu,Women SHG,9,37,47.0,93.0,39.32,916.86,79.5,76.3,26,Yes,0,,0,0.0,Small Business,46300.0,6.6,No,1
SHG20123,Maharashtra,Women SHG,13,20,50.8,56.1,103.11,1704.98,74.5,68.2,13,Yes,0,,0,0.0,Emergency/Consumption,17800.0,6.8,Yes,1
SHG20124,Maharashtra,Mixed SHG,12,5,30.7,64.3,64.29,284.58,53.5,92.0,4,No,0,,0,0.0,Small Business,5000.0,7.1,Yes,0
SHG20125,Tamil Nadu,Women SHG,13,19,39.5,86.7,36.04,677.78,77.6,89.8,16,Yes,3,69.8,0,13634.32,Emergency/Consumption,18700.0,7.6,No,1
SHG20126,Karnataka,Women SHG,13,78,38.1,29.3,153.88,11689.79,66.0,79.0,61,Yes,3,78.0,0,6153.84,Agriculture,24400.0,7.9,No,1
SHG20127,Odisha,Mixed SHG,11,32,30.9,91.4,58.24,1411.41,61.0,87.1,18,Yes,3,30.6,1,38939.4,Small Business,15200.0,4.5,No,0
SHG20128,Odisha,Women SHG,15,42,38.7,77.0,293.7,11595.26,86.6,63.1,27,Yes,0,,0,0.0,Emergency/Consumption,173400.0,7.0,No,1
SHG20129,Odisha,Mixed SHG,17,34,47.4,48.4,86.14,2736.29,67.6,91.3,24,Yes,1,61.8,1,40464.23,Livestock,35400.0,5.8,Yes,1
SHG20130,Tamil Nadu,Women SHG,11,17,32.7,61.1,170.33,1896.02,76.9,54.4,16,Yes,2,65.3,0,25852.03,Small Business,39300.0,4.4,Yes,1
SHG20131,Andhra Pradesh,Women SHG,16,15,29.8,55.4,116.24,1761.43,66.0,86.2,9,Yes,3,72.8,1,12249.26,Livestock,9100.0,7.7,Yes,1
SHG20132,Karnataka,Women SHG,16,25,36.6,48.5,115.78,3517.25,79.9,70.9,13,No,2,91.2,1,3924.35,Emergency/Consumption,24500.0,7.5,Yes,1
SHG20133,Uttar Pradesh,Women SHG,11,20,25.0,98.0,333.39,6101.09,60.4,90.1,16,Yes,2,75.2,0,2826.21,Agriculture,77300.0,6.9,Yes,1
SHG20134,Odisha,Women SHG,11,15,36.3,65.3,22.75,215.36,69.3,91.1,14,Yes,1,88.4,0,17467.26,Agriculture,12000.0,8.4,Yes,0
SHG20135,Karnataka,Women SHG,13,45,28.2,57.1,139.84,4850.5,58.0,64.1,23,Yes,3,88.8,0,12441.16,Small Business,17400.0,8.6,Yes,1
SHG20136,West Bengal,Women SHG,15,43,37.9,41.2,307.29,10997.25,68.8,69.3,39,Yes,0,,0,0.0,Education,18100.0,7.0,Yes,1
SHG20137,Tamil Nadu,Farmer Producer Group,13,41,37.0,61.0,62.39,2414.8,55.6,79.1,37,Yes,2,59.3,0,15345.28,Small Business,49500.0,9.8,No,0
SHG20138,Kerala,Women SHG,16,23,42.7,54.7,20.0,607.17,82.3,89.9,16,Yes,2,92.1,0,1467.29,Education,47900.0,6.2,No,1
SHG20139,Telangana,Women SHG,14,35,32.9,75.8,98.04,3224.15,96.5,53.6,19,Yes,2,80.9,1,1760.91,Emergency/Consumption,18900.0,7.3,Yes,1
SHG20140,Kerala,Women SHG,11,29,63.5,39.5,119.09,2619.62,62.1,92.6,19,Yes,3,65.3,0,4306.86,Education,24000.0,6.9,Yes,0
SHG20141,Telangana,Mixed SHG,12,23,47.1,50.6,116.65,1612.52,58.1,57.1,18,Yes,0,,0,0.0,Small Business,32200.0,7.9,Yes,0
SHG20142,Telangana,Women SHG,12,75,50.7,80.4,61.38,4230.43,63.6,71.7,63,Yes,2,72.6,0,12767.22,Livestock,28500.0,10.0,No,1
SHG20143,West Bengal,Women SHG,12,44,33.4,86.0,182.82,6244.67,94.9,77.9,30,Yes,2,34.9,0,18891.25,Education,29900.0,7.4,No,1
SHG20144,Tamil Nadu,Mixed SHG,16,97,30.5,57.8,139.26,11697.02,86.1,57.2,68,Yes,0,,0,0.0,Home Improvement,93700.0,6.5,No,0
SHG20145,Kerala,Farmer Producer Group,15,6,33.8,86.3,107.52,705.92,69.9,89.6,5,Yes,1,93.6,2,5399.09,Agriculture,77500.0,6.7,Yes,1
SHG20146,Uttar Pradesh,Mixed SHG,14,13,35.5,82.1,188.01,1840.93,94.0,73.4,11,Yes,2,86.6,0,9852.98,Emergency/Consumption,36900.0,6.3,No,0
SHG20147,Maharashtra,Women SHG,10,25,49.9,62.2,247.81,5159.45,73.2,71.6,17,Yes,2,65.5,0,2346.83,Education,62900.0,8.0,Yes,1
SHG20148,Telangana,Women SHG,14,20,41.1,48.9,84.21,1373.92,88.6,94.3,13,Yes,3,92.1,0,10752.42,Emergency/Consumption,29600.0,6.4,Yes,1
SHG20149,Tamil Nadu,Women SHG,17,28,36.0,92.2,304.96,8045.01,72.8,53.4,22,Yes,1,29.8,1,42558.23,Small Business,58700.0,6.2,No,0
SHG20150,Kerala,Women SHG,12,54,43.9,33.1,78.53,3531.84,84.7,69.1,39,No,2,50.1,0,1996.43,Home Improvement,22400.0,6.9,Yes,0
SHG20151,Uttar Pradesh,Women SHG,12,39,37.7,64.2,102.94,3691.02,59.8,54.5,34,Yes,1,83.9,0,10197.06,Agriculture,14600.0,6.0,No,0
SHG20152,Karnataka,Women SHG,17,27,42.0,73.9,155.36,4028.48,67.1,47.0,16,Yes,2,72.6,0,5681.43,Small Business,62900.0,8.1,Yes,0
SHG20153,Kerala,Mixed SHG,13,23,28.9,73.7,121.97,2275.43,80.3,55.1,17,Yes,0,,0,0.0,Emergency/Consumption,11000.0,8.7,Yes,1
SHG20154,Tamil Nadu,Women SHG,11,40,21.5,32.7,30.91,922.7,64.8,81.8,32,Yes,2,78.7,1,34120.45,Agriculture,48400.0,6.2,Yes,1
SHG20155,Maharashtra,Women SHG,10,8,44.3,42.3,97.75,516.62,88.0,70.0,5,Yes,2,76.3,0,1959.23,Emergency/Consumption,33400.0,10.0,No,1
